"LegacyId","App","Package","LegacyPath","ArtifactComplete","Domain","Disposition","NewCapabilityId","AcceptanceCase","ReviewNote"
"PAGE-001","会员端","main","pages/start/index","True","identity-routing","REPLACE","member.start-router","pages/login/index","Cold-start router replaced by wx.login + registrationRequired reLaunch. Legacy pages/start/index → member-miniapp pages/login/index (onboarding or home). Evidence: apps/member-miniapp/src/pages/login/index.vue; stage-04."
"PAGE-002","会员端","main","pages/index/index","True","member-home","KEEP","member.home","AC-07-01","Home tab: site carousel (getSiteFaceimage), notices (getNoticeList), upcoming appointments (selectAppoint) with cancel, shortcuts to shop/buy/stats; official-account nudge when refuseUserFocus. Evidence: 会员端/pages/index/index.js, index.wxml."
"PAGE-003","会员端","main","pages/appointmentCourse/index","True","booking","KEEP","booking.catalog","pages/booking/index","Member 约课 tab day catalog via GET /member/booking/catalog. Legacy pages/appointmentCourse/index → member-miniapp pages/booking/index. Evidence: stage-06-booking-scheduling.md; apps/member-miniapp/src/pages.json."
"PAGE-004","会员端","main","pages/mine/index","True","member-home","KEEP","member.mine","AC-07-02","Mine tab dashboard: myMainpage stats (appointCount, lastMonthAppointCount, absenceCount/totalPoint, monthRankNum), stacked wallet cards, shortcuts to profile/records/orders/stats; WeChat card-pack CTA when isPutWeixin==0. Evidence: 会员端/pages/mine/index.js, index.wxml."
"PAGE-005","会员端","main","pages/tailor/u-avatar-cropper/u-avatar-cropper","True","member-profile","REPLACE","member.avatar","AC-07-03","Avatar crop then upload to /common/uploadfile and persist via UpdateUserInfo on profile page. Evidence: pageMine/myInfo/index.js created() handler."
"PAGE-006","会员端","main","pages/authorization/info/index","True","member-profile","MERGE","member.onboarding","AC-07-04","First-time nickname/avatar capture stored locally then routed to phone/register. Evidence: member-audit §4.1 authorization/info."
"PAGE-007","会员端","main","pages/authorization/noLogin/index","True","membership","REPLACE","membership.empty-state","pages/login/index","Unauthenticated empty state routes to member login shell. Legacy authorization/noLogin → pages/login/index. Evidence: apps/member-miniapp/src/pages/login/index.vue."
"PAGE-008","会员端","main","pages/authorization/phone/index","True","member-profile","MERGE","member.onboarding","AC-07-04","Phone authorize via getWeixinPhoneNumber then register. Evidence: pages/authorization/phone and receiveCard flows."
"PAGE-009","会员端","main","pages/receiveCard/authorization/info/index","True","card-transfer","MERGE","card-transfer.claim","pages/cards/transfer","Merged into single claim page; previewMemberCardTransfer + claimMemberCardTransfer. Evidence: apps/member-miniapp/src/pages/cards/transfer.vue."
"PAGE-010","会员端","main","pages/receiveCard/authorization/phone/index","True","card-transfer","MERGE","card-transfer.claim","pages/cards/transfer","Phone gate deferred; claim requires authenticated member session. Evidence: apps/member-miniapp/src/pages/cards/transfer.vue."
"PAGE-011","会员端","main","pages/receiveCard/index","True","card-transfer","KEEP","card-transfer.claim","pages/cards/transfer","Signed token preview + claim. OpenAPI GET/POST /member/card-transfers/{token}; tests MemberCardTransferTest."
"PAGE-012","会员端","main","pages/not/index","True","membership","REPLACE","membership.empty-state","pages/login/index","No-membership / blocked entry routes to login. Legacy pages/not → pages/login/index. Evidence: apps/member-miniapp/src/pages/login/index.vue."
"PAGE-013","会员端","main","pages/webView/index","True","legal","REPLACE","legal.document","pages/legal/index","Legal document viewer via listCurrentMemberLegalDocuments. Evidence: apps/member-miniapp/src/pages/legal/index.vue."
"PAGE-014","会员端","main","pages/myOrder/index","True","order","KEEP","order.list","pages/orders/index","Member order list via listMemberOrders. Evidence: apps/member-miniapp/src/pages/orders/index.vue; tests MemberOrderTest."
"PAGE-015","会员端","pageHome","pageHome/shopDetails/index","True","site","KEEP","site.public-detail","pages/sites/detail","Site profile + carousel + warm hints via getMemberSitePublicDetail. Evidence: apps/member-miniapp/src/pages/sites/detail.vue; tests MemberSitePublicTest."
"PAGE-016","会员端","pageHome","pageHome/toggleShop/index","True","site","REPLACE","site.context-selector","pages/index/index","Multi-site picker via loadMemberSites/selectMemberSite on home (also booking tab). Legacy pageHome/toggleShop → member-miniapp pages/index/index + composables/member-context.ts. Evidence: apps/member-miniapp/src/pages/index/index.vue."
"PAGE-017","会员端","pageHome","pageHome/informDetails/index","True","notice","REPLACE","notice.detail","AC-07-05","Notice detail resolved client-side from getNoticeList by noticeId query param. Evidence: pageHome/informDetails/index.js."
"PAGE-018","会员端","pageHome","pageHome/appointmentDetails/index","True","booking","KEEP","booking.detail","pages/booking/my-appointments","Member appointment list + cancel. Legacy pageHome/appointmentDetails (selectOneAppoint) → pages/booking/my-appointments. Evidence: stage-06; apps/member-miniapp/src/pages/booking/my-appointments.vue."
"PAGE-019","会员端","pageHome","pageHome/buyingCard/index","True","commerce","KEEP","card-purchase.catalog","pages/cards/catalog","Sellable catalog + demo purchase submit. Legacy pageHome/buyingCard → pages/cards/catalog. Evidence: stage-acceptance-matrix.md; apps/member-miniapp/src/pages/cards/catalog.vue."
