LegacyId,App,LegacyEndpoint,Methods,Exports,Operation,Domain,Disposition,NewOperationId,AcceptanceCase,ReviewNote
API-001,管理端,/b/arrange/batchChangeCourse,POST,batchChangeCourse,write,schedule,REPLACE,schedule.batch.change-course,StaffPlannedApisTest::test_schedule_batch_unsuspend_and_change_course_preflight,"Batch retarget sessions to another course template. Evidence: pagesCourse/index/management-schedule.js."
API-002,管理端,/b/arrange/batchDeleteByCourseid,POST,batchDeleteByCourseid,write,schedule,REPLACE,schedule.batch.delete-by-course,batchCancelStaffScheduleSessions,"Batch cancel future sessions by course template. OpenAPI POST .../schedule-sessions/batch-cancel; tests StaffScheduleBatchTest."
API-003,管理端,/b/arrange/batchDeleteByDate,POST,batchDeleteByDate,write,schedule,REPLACE,schedule.batch.delete-by-date,batchCancelStaffScheduleSessions,"Batch cancel sessions in date range. OpenAPI POST .../schedule-sessions/batch-cancel; tests StaffScheduleBatchTest."
API-004,管理端,/b/arrange/batchStopPlan,POST,batchStopPlan,write,schedule,REPLACE,schedule.batch.suspend,batchSuspendStaffScheduleSessions,"Batch suspend sessions. OpenAPI POST .../schedule-sessions/batch-suspend; tests StaffScheduleBatchTest."
API-005,管理端,/b/arrange/batchStopPlanUndo,POST,batchStopPlanUndo,write,schedule,REPLACE,schedule.batch.unsuspend,StaffPlannedApisTest::test_schedule_batch_unsuspend_and_change_course_preflight,"Batch lift suspension. Evidence: management-schedule.js."
API-006,管理端,/b/arrange/cancelstopOnePlan,POST,cancelstopOnePlan,write,schedule,REPLACE,schedule.session.unsuspend,StaffPlannedApisTest::test_schedule_session_unsuspend_and_extras,"Lift single session suspension. Evidence: course-management.js."
API-007,管理端,/b/arrange/changeOtherCourse,POST,changeOtherCourse,write,schedule,REPLACE,schedule.session.change-course,updateStaffScheduleSession,"Swap course template on one session via PUT .../schedule-sessions/{id}; tests StaffScheduleSessionTest."
API-008,管理端,/b/arrange/checkchangeOtherCourse,POST,checkchangeOtherCourse,query,schedule,MERGE,schedule.session.change-course.preflight,StaffPlannedApisTest::test_schedule_batch_unsuspend_and_change_course_preflight,"Preflight before course swap. Evidence: course-management.js."
API-009,管理端,/b/arrange/checkcopyPlan,POST,checkcopyPlan,query,schedule,MERGE,schedule.copy.preflight,StaffPlannedApisTest::test_schedule_display_config_and_copy_preflight,"Preflight timetable copy. Evidence: copy-timetable.js."
API-010,管理端,/b/arrange/copyPlan,POST,copyPlan,write,schedule,REPLACE,schedule.copy.execute,batchCopyStaffScheduleSessions,"Copy timetable between date ranges. OpenAPI POST .../schedule-sessions/batch-copy; tests StaffScheduleBatchTest."
API-011,管理端,/b/arrange/deleteOnePlan,POST,deleteOnePlan,write,schedule,REPLACE,schedule.session.delete,cancelStaffScheduleSession,"Cancel/delete session; fails closed when bookings exist. OpenAPI POST .../schedule-sessions/{id}/cancel; tests StaffScheduleSessionTest."
API-012,管理端,/b/arrange/findallcourse,POST,findallcourse,query,schedule,REPLACE,schedule.course-catalog.list,listStaffCourses,"Paged course search for schedule admin. OpenAPI GET .../courses; tests StaffCourseCatalogTest."
API-013,管理端,/b/arrange/findPlan,POST,findPlan,query,schedule,REPLACE,schedule.calendar.list,listStaffScheduleSessions,"Calendar grid sessions in date range. OpenAPI GET .../schedule-sessions?from&to; tests StaffScheduleSessionTest."
API-014,管理端,/b/arrange/findPlanByCourseId,POST,findPlanByCourseId,query,schedule,REPLACE,schedule.course-sessions.list,listStaffScheduleSessions,"Sessions for one course via courseId filter on GET .../schedule-sessions; tests StaffScheduleSessionTest."
API-015,管理端,/b/arrange/getArrangeImage,POST,getArrangeImage,query,schedule,REPLACE,schedule.export.image,StaffPlannedApisTest::test_schedule_session_unsuspend_and_extras,"Download timetable image. Evidence: download-timetable.js."
API-016,管理端,/b/arrange/getArrangeTagData,POST,getArrangeTagData,query,schedule,REPLACE,schedule.display-tags.read,StaffPlannedApisTest::test_schedule_display_config_and_copy_preflight,"Read timetable legend/tags. Evidence: course-option.js."
API-017,管理端,/b/arrange/getbgcolor,POST,getBgColor,query,schedule,REPLACE,schedule.session.color.read,StaffPlannedApisTest::test_schedule_session_unsuspend_and_extras,"Session color options. Evidence: select-backgroundcolor.js."
API-018,管理端,/b/arrange/getDetailByCourseid,POST,getDetailByCourseid,query,schedule,REPLACE,schedule.recurring-template.read,StaffPlannedApisTest::test_schedule_session_unsuspend_and_extras,"Read recurring schedule template for course. Evidence: subject-edit.js."
API-019,管理端,/b/arrange/getOne,POST,getOne,query,schedule,REPLACE,schedule.session.read,getStaffScheduleSession,"Single session detail. OpenAPI GET .../schedule-sessions/{id}; tests StaffScheduleSessionTest."
API-020,管理端,/b/arrange/save,POST,addCourse,write,schedule,REPLACE,schedule.session.create,createStaffScheduleSession,"Create timetable session. OpenAPI POST .../schedule-sessions; tests StaffScheduleSessionTest."
API-021,管理端,/b/arrange/saveArrangeTagData,POST,saveArrangeTagData,write,schedule,REPLACE,schedule.display-tags.write,StaffPlannedApisTest::test_schedule_display_config_and_copy_preflight,"Persist timetable legend/tags. Evidence: course-option.js."
API-022,管理端,/b/arrange/savebgcolor,POST,saveBgColor,write,schedule,REPLACE,schedule.session.color.write,StaffPlannedApisTest::test_schedule_session_unsuspend_and_extras,"Persist session color. Evidence: select-backgroundcolor.js, course-management.js."
API-023,管理端,/b/arrange/selectAllTeamCourse,POST,selectAllTeamCourse,query,schedule,MERGE,schedule.group-course.picker,listStaffCourses,"Group course picker merged into GET .../courses with kind filter; tests StaffCourseCatalogTest."
API-024,管理端,/b/arrange/stopOnePlan,POST,stopOnePlan,write,schedule,REPLACE,schedule.session.suspend,suspendStaffScheduleSession,"Suspend one session. OpenAPI POST .../schedule-sessions/{id}/suspend; tests StaffScheduleSessionTest."
API-025,管理端,/b/arrange/update,POST,updateAllCourse|updateCourse|updateTime,write,schedule,REPLACE,schedule.session.update,updateStaffScheduleSession|patchStaffScheduleSession,"Update session time/course/coach. OpenAPI PUT/PATCH .../schedule-sessions/{id}; tests StaffScheduleSessionTest."
API-026,管理端,/b/arrange/updateStaffUserid,POST,updateStaffUserid,write,schedule,REPLACE,schedule.session.replace-coach,patchStaffScheduleSession,"Replace coach on session via PATCH coachStaffId. OpenAPI PATCH .../schedule-sessions/{id}; tests StaffScheduleSessionTest."
API-027,管理端,/b/card/delcard,POST,delcard,write,card-product,REPLACE,card-product.archive,archiveStaffCardProduct,"Soft-archives a card template. OpenAPI POST .../card-products/{id}/archive; tests StaffCardProductEditorTest. Evidence: pagesImp/card/member-card/index.js."
API-028,管理端,/b/card/findHistoryGroupName,POST,findHistoryGroupName,query,card-catalog,REPLACE,StaffPlannedApisTest::test_card_product_course_catalog_and_points,StaffPlannedApisTest::test_card_product_course_catalog_and_points,"Used while batch-adjusting grouped count-card balances; new catalog history is read-only and entitlement changes remain ledger commands."
API-029,管理端,/b/card/getAllCardForHasAgreement,POST,getAllCardForHasAgreement,query,member-card,REJECT,,AC-05-99,"Exported in vendor bundle only; no static call site in 管理端 or 会员端 compiled JS. Stage 05 blocker confirmed. Evidence: grep getAllCardForHasAgreement → vendor.js only."
API-030,管理端,/b/card/getAllCardInfo,POST,getAllCardInfo,query,card-catalog,MERGE,card-product.list,listStaffCardProducts,"Card-product options used by member filters; merge duplicate legacy card-list endpoints into one tenant/site-scoped catalog query. OpenAPI GET .../card-products; tests StaffCardProductCatalogTest."
API-031,管理端,/b/card/getAllCardPrice,POST,allCard,query,card-product,REPLACE,card-product.pricing-matrix.list,getStaffCardProduct,"Returns groupCardList/singleCardList pricing matrix via courseScopes/price fields on GET .../card-products/{id}; tests StaffCardProductEditorTest. Evidence: pagesImp/card/card-subject/index.js."
API-032,管理端,/b/card/getDelCardInfo,POST,getDelCardInfo,query,card-product,REPLACE,card-product.recycle-bin.list,listStaffCardProducts,"Lists archived templates via catalogStatus=archived. OpenAPI GET .../card-products?catalogStatus=archived; tests StaffCardProductCatalogTest. Evidence: pagesImp/card/home/del-card.js."
API-033,管理端,/b/card/getGroupCourseList,POST,getGroupCourseList,query,card-product,REPLACE,card-product.course-scope.group.get,getStaffCardProduct,"Group count-card course mapping via courseScopes on GET .../card-products/{id}; staff editor UI; tests StaffCardProductEditorTest. Evidence: pagesImp/card/setting-more-subject/index.js."
API-034,管理端,/b/card/getOneCardInfo,POST,getOneCardInfo,query,card-product,REPLACE,card-product.detail,getStaffCardProduct,"Template detail for editor. OpenAPI GET .../card-products/{id}; tests StaffCardProductCatalogTest. Evidence: pagesImp/card/member-card/index.js."
API-035,管理端,/b/card/getOneCardPrice,POST,getOneCardPrice,query,card-product,REPLACE,card-product.course-scope.single.get,getStaffCardProduct,"Single-card course/price scope via courseScopes on GET .../card-products/{id}; staff editor UI; tests StaffCardProductEditorTest. Evidence: pagesImp/card/setting-single-subject/index.js."
API-036,管理端,/b/card/recoverDelCard,POST,recoverDelCard,write,card-product,REPLACE,card-product.restore,restoreStaffCardProduct,"Restores archived template. OpenAPI POST .../card-products/{id}/restore; tests StaffCardProductEditorTest. Evidence: pagesImp/card/home/del-card.js."
API-037,管理端,/b/card/saveCard,POST,saveCard,write,card-product,REPLACE,card-product.upsert,createStaffCardProduct|updateStaffCardProduct,"Creates/updates card template with booking/validity rules. OpenAPI POST/PUT .../card-products; tests StaffCardProductEditorTest. Evidence: pagesImp/card/member-card/index.js."
